字	五笔全码	一级简码	二级简码	三级简码	字根拆解
工	aaaa	a	 	aaa	`※※※`
了	bnh	b	 	 	`※※`
以	nywy	c	 	nyw	`※※※`
在	dhfd	d	 	dhf	`※※※`
有	def	e	 	 	`※※`
地	fbn	f	fb	 	`※※`
一	ggll	g	 	ggl	`※※※`
上	hhgg	h	 	 	`※※※`
不	gii	i	gi	 	`※※`
是	jghu	j	 	jgh	`※※※`
中	khk	k	kh	 	`※※`
国	lgyi	l	 	lgy	`※※※`
同	mgkd	m	mg	mgk	`※※※`
民	nav	n	na	 	`※※`
为	ylyi	o	yl	yly	`※※※`
这	ypi	p	yp	 	`※※`
我	trnt	q	 	trn	`※※※`
的	rqyy	r	 	rqy	`※※※`
要	svf	s	sv	 	`※※`
和	tkg	t	 	 	`※※`
产	ute	u	ut	 	`※※`
发	ntcy	v	 	ntc	`※※※`
人	wwww	w	 	 	`※※※`
经	xcag	x	xc	xca	`※※※`
主	ygd	y	yg	 	`※※`
