序号	笔画数	部首数量	附形数量	主部首	附形部首	附形参照
1-5	1画	5	16	一丨丿丶乛	亅	丨（亅）乛（*）
6-26	2画	21	10	十厂匚卜冂八人勹儿匕几亠冫冖凵卩刀力又厶廴	𠂆⺊⺆丷亻入𠘨㔾刂⺈	厂（𠂆）/卜（⺊）/冂（⺆）/八（丷）/人（亻入）/几（𠘨）/卩（㔾）/刀（刂⺈）
27-60	3画	34	15	干工土艹寸廾大尢弋小口囗山巾彳彡夕夂丬广门宀辶彐尸己弓子屮女飞马么巛	士艸兀尣⺌爿門辵⺕彑已巳*飛馬	土（士）/艹（艸）/尢（兀尣）/小（⺌）/丬（爿）/门（門）/辶（辵）/彐（⺕彑）/己（已巳）/屮(*)/飞（飛）/马（馬）
61-99	4画	39	27	王无韦木支犬歹车牙戈比瓦止攴日贝水见牛手气毛长片斤爪父月氏欠风殳文方火斗户心毋	玉旡韋朩犭歺*車攵⺜曰貝氵氺見牜扌龵镸長爫⺝風灬忄⺗母	王（玉）/无（旡）/韦（韋）/木（朩）/犬（犭）/歹（歺）/车（*車）/攴（攵）/日（⺜曰）/贝（貝）/水（氵氺）/见（見）/牛（牜）/手（扌龵）/长（镸長）/爪（爫）/月（⺝）/风（風）/火（灬）/心（忄⺗）/毋（母）
100-121	4画	22	4	示甘石龙业目田罒皿生矢禾白瓜鸟疒立穴疋皮癶矛	礻龍鳥𤴔	示（礻）/龙（龍）/鸟（鳥）/疋（𤴔）
122-148	6画	27	15	耒老耳臣覀而页至虍虫肉缶舌竹臼自血舟色齐衣羊米聿艮羽糸	耂襾西頁虎𥫗𦥑齊衤⺶𦍌肀⺻纟糹	老（耂）/覀（襾西）/页（頁）/虍（虎）/竹（𥫗）/臼（𦥑）/齐（齊）/衣（衤）/羊（⺶𦍌）/聿（肀⺻）/糸（纟糹）
149-167	7画	19	6	麦走赤豆酉辰豕卤里足邑身釆谷豸龟角言辛	麥鹵𧾷⻏龜讠	麦（麥）/卤（鹵）/足（𧾷）/邑（⻏，在右）/龟（龜）/言（讠）
168-178	8画	11	5	青龺雨非齿黾隹阜金鱼隶	齒黽⻖钅魚	齿（齒）/黾（黽）/阜（⻖，在左）/金（钅）/鱼（魚）
179-187	9画	9	2	革面韭骨香鬼食音首	饣飠	食（饣飠）
188-191	10画	4	0	髟鬲鬥高	 	 
192-194	11画	3	0	黄麻鹿	 	 
195-197	12画	3	0	鼎黑黍	 	 
198-100	13画	2	0	鼓鼠	 	 
200	14画	1	0	鼻	 	 
201	17画	1	0	龠	 	 
