分区	笔画	键名字根	基本字根	扩充字根	识别码
**1区（横/一）**	 	 	 	 	 	 	 
G〈11〉	``	``	``<br>``	``	``	 
F〈12〉	``	``	``<br>``<br>``<br>``	``<br>``	``	 
D〈13〉	``	``	``<br>``	``<br>``	``	 
S〈14〉	 	``	``<br>``	``	 	 
A〈15〉	 	``	``<br>``<br>``	``<br>``<br>``	 	 
**2区（竖/丨）**	 	 	 	 	 	 	 
H〈21〉	``	``	``<br>``<br>``	 	``	 
J〈22〉	``	``	``<br>``	``<br>``	``	 
K〈23〉	``	``	 	 	``	 
L〈24〉	``	``	``<br>``<br>``<br>``	``<br>``	 	 
M〈25〉	 	``	``<br>``	``<br>``	 	 
**3区（撇/丿）**	 	 	 	 	 	 	 
T〈31〉	``	``	``<br>``<br>``	 	``	 
R〈32〉	``	``	``<br>``	``	``	 
E〈33〉	``	``	``<br>``<br>``	``<br>``	``	 
W〈34〉	 	``	``<br>``	``	 	 
Q〈35〉	 	``	``<br>``<br>``<br>``	``<br>``<br>``<br>``	 	 
**4区（捺/丶）**	 	 	 	 	 	 	 
Y〈41〉	``	``	``	``<br>``	``	 
U〈42〉	``	``	``<br>``<br>``	``<br>``	``	 
I〈43〉	``	``	``<br>``	``<br>``	``	 
O〈44〉	``	``	``<br>``	``	 	 
P〈45〉	 	``	``<br>``	 	 	 
**5区（折/乙）**	 	 	 	 	 	 	 
N〈51〉	``	``	``<br>``<br>``<br>``	``	``	 
B〈52〉	``	``	``<br>``<br>``	``<br>``	``	 
V〈53〉	``	``	``<br>``<br>``	``	``	 
C〈54〉	 	``	``<br>``<br>``	``	 	 
X〈55〉	 	``	``<br>``<br>``	``<br>``<br>``	 	 
